municipality,id,id_new,muni_type,gnis_id,county,outer,rr1,muni_type_numeric,marcellus,utica,population,land_area,density,high_school,unemployment,homeownership,inner,percap_acs,median_household,median_family,opponent,proponent,entrepreneurship,contested_entrepreneurship,entrepreneurship_binary,opponent_binary,proponent_binary,oban,omoratorium,ozoningpreventing,ozoningallowing,oroaduse,operformance,oresolutionopposing,onolease,oidontknow,oother,o_verballorwritten,obefore2008,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o_dontknowyear,o_activitylevel5,o_controversy6,o_knowledge7,o_wellregarded8,o_livework9,o_otherissues10,o_occupation10,ooppositionretired,o_success12,o_binaryog12,oogmunicipalitybased,oogpublic,ooglandownercoalition,o_letteremail13,o_petitiom13,o_publicmtg13,o_officialsmuni13,o_officialsoutside13,o_orggroup13,o_presentation13,o_protest13,idontknow,o_other13,o_verbalwritten13,o_people14,o_officialsmunicipality_14,o_officialsregion14,o_prominentmunicipality14,oprominentregion,o_friendly14,o_wellrespected14,o_informedgovernment14,o_informedfracking14,o_time14,o_money14,pmoratorium,pzoningfacilitating,proaduse,pperformance,presolution,ppermittesting,please,pidontknow,pother,pverbalorwritten,pinaction,pbefore2008,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p_dontknow_16,p_activitylevel17,p_controversy18,p_knowledge19,p_wellregarded20,p_livework21,p_otherissues22,p_occupation23,pretired,p_success24,p_binaryog26,pogmunicipalitybased,pogenergyco,pogpublic,poglandownercoalition,p_letteremail26,p_petition26,p_publicmtg26,p_officialsmuni26,p_officialsoutside26,p_orggroup26,p_presentation26,p_protest26,p_dontknow_26,p_other_26,p_verbalorwritten_26,ppeople,p_officialsmunicipality_27,pofficialsregion,pprominentmunicipality,pprominentregion,pfriendly,pwellrespected,pinformedgovernment,pinformedfracking,ptime,pmoney,view_self28,view_others29,change_others30,view_legislators31,change_legislators32,view_chief33,change_chief34,gender,age,years,education,othercompleted,duplicatemerge,shales,shalelayers,ambiguity_otherviews,ambiguity_changeotherviews,ambiguity_viewlegislators,ambiguity_changelegislators,ambiguity_viewchief,ambiguity_changechief,sum_ambiguity,sum_ambiguity_views,sum_ambiguity_change,nodatami2,agmi2,pasturemi2,forestmi2,urbanmi2,watermi2,o_controversy_split,p_controversy_split,ag_pasture,ag_pasture_forest,view_others_binary,view_legislators_binary,view_chief_binary,positive_comm_change,negative_comm_change,positive_leg_change,negative_leg_change,positive_chief_change,negative_chief_change,community_view_sum,community_trends_positive_sum,community_trends_negative_sum,view_self_binary,county_numeric,o_time14_binary,o_money14_binary,o_informedfracking14_binary,o_informedgovernment14_binary,o_wellrespected14_binary,o_friendly14_binary,o_prominentregion14_binary,o_prominentmunicipality14_binary,o_officialsregion14_binary,o_officialsmunicipality14_binary,p_time27_binary,p_money27_binary,p_informedfracking27_binary,p_informedgovernment27_binary,p_wellrespected27_binary,p_friendly27_binary,p_prominentregion27_binary,p_prominentmunicipality27_binary,p_officialsregion27_binary,p_officialsmunicipality27_binary,o_people14_binary,p_people27_binary,revenue_08,revenue_09,revenue_10,revenue_11,revenue_12,averagerevenues,percapitaaveragerevenue,number_activities,total_proponent_activities,total_opponent_activities,thousands_averagerevenue,percap_thousands,log_revenue,all_orgs,environmental_orgs,obama08,obama12,urbanpct,dem,wells,wells19902007,allproduction0812,one policy ,multi policies,1st ,2nd ,3rd ,4th,5th,6th,7th,number adopted anti,county A,county B,county C,year,policytype,policysubtype,stanceie,Month first anti,Start of year,Day of passage,Day subtract,Landowner Coalition?,Count of all post secondary Institutions,Count of institutions that offer at least a Bachelor's degree,dist_pa,dist_hway,waterwell_count,Matches Ban 0812,Matches Road 0812,Matches Moratoriums 0812,Matches Bans 0307,Matches Road 0307,Matches Moratoriums 0307,Matches Sustainability 0812,Matches Tourism 0812,Matches Sustainability 0307,Local government as involved agencies,,,,
Albany,565,565,city,978659,Albany,0,0,city,0,1,97856,21.4,4575.2,86.5,0.094,0.395106,0,23235,30041,39932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.014942,0.396836,0.280426,1.91746,17.4378,1.88897,,,0.677262,2.59472,,,,0,0,0,0,0,0,,0,0,,Albany,,,,,,,,,,,,,,,,,,,,,,,1.40E+08,1.40E+08,1.40E+08,1.40E+08,1.40E+08,1.40E+08,1416.89,,,,138651,23.235,11.8397,16,1,79.6,81.4,0.814852,80.5,0,0,0,1,,1,,,,,,,1,Albany,Albany,Albany,2012,1,9,Anti,5,1/1/2012,3/8/2012,67,0,18,7,141658.9693,2080,17,,1,,,3,,,,,,,,,
Amsterdam,448,448,city,978677,Montgomery,0,0,city,0,1,18620,5.9,3176.3,81.4,0.122,0.528112,0,22860,27517,37169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.013205,10.2402,0.394056,9.27943,3.35886,4.79782,,,10.6343,19.9137,,,,0,0,0,0,0,0,,0,0,,Montgomery,,,,,,,,,,,,,,,,,,,,,,,3.40E+06,4.00E+06,3.60E+06,3.70E+06,4.00E+06,3.70E+06,666.57,,,,3710.11,22.86,8.21882,0,0,42,44.8,0.113093,43.4,0,0,0,,,,,,,,,,,Montgomery,Montgomery,Montgomery,,,,,,,,,0,0,0,141770.7004,2160,0,,,,2,,,,,,,,,,
Auburn ,2,2,city,978695,Cayuga,0,0,city,1,1,27687,8.3,3321.3,82.3,0.082,0.49567,0,21424,30281,41169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.031274,0.516026,0.093475,1.12692,6.20586,0.416295,,,0.609501,1.73642,,,,0,0,0,0,0,0,,0,0,,Cayuga,,,,,,,,,,,,,,,,,,,,,,,3.80E+07,3.80E+07,3.90E+07,4.00E+07,4.20E+07,3.90E+07,1416.6,,,,39221.4,21.424,10.577,2,0,60.3,63,0.747694,61.65,3,1,0,,1,1,,,,,,,2,Cayuga,Cayuga,Cayuga,2011,3,4,Anti,6,1/1/2011,6/2/2011,152,0,2,0,103832.7726,12700,0,,,1,,2,,,,1,,,,,
Auburn ,2,2,city,978695,Cayuga,0,0,city,1,1,27687,8.3,3321.3,82.3,0.082,0.49567,0,21424,30281,41169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.031274,0.516026,0.093475,1.12692,6.20586,0.416295,,,0.609501,1.73642,,,,0,0,0,0,0,0,,0,0,,Cayuga,,,,,,,,,,,,,,,,,,,,,,,3.80E+07,3.80E+07,3.90E+07,4.00E+07,4.20E+07,3.90E+07,1416.6,,,,39221.4,21.424,10.577,2,0,60.3,63,0.747694,61.65,3,1,0,,1,,1,,,,,,2,Cayuga,Cayuga,Cayuga,2012,4,1,Anti,3,1/1/2012,3/7/2012,66,0,2,0,103832.7726,12700,0,,,1,,2,,,,1,,,,,
Batavia,699,699,city,978713,Genesee,0,1,city,1,1,15465,5.2,2976.4,89.1,0.087,0.547109,0,21406,33484,42460,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,7,5,7,5,2,3,2,7,,,1,2,0,0,0,0,0,0,0,0,0,0.030579,0.514983,0.076796,0.644598,3.64033,0.368689,,,0.591779,1.23638,0,0,0,0,0,0,0,0,0,0,0,0,0,Genesee,,,,,,,,,,,,,,,,,,,,,,,2.20E+07,2.30E+07,2.00E+07,2.00E+07,2.10E+07,2.10E+07,1376.56,0,,,21288.4,21.406,9.96592,0,0,48.4,48.5,0.700063,48.45,0,0,0,,,,,,,,,,,Genesee,Genesee,Genesee,,,,,,,,,0,0,0,111183.0316,2250,0,,1,,,,,1,,2,,,,,
Beacon,1367,1367,city,978716,Dutchess,0,0,city,0,1,15541,4.7,3279.6,85,0.081,0.54237,0,26205,45236,53811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.025714,0.199113,0.044479,1.02684,3.28137,0.282511,,,0.243592,1.27043,,,,0,0,0,0,0,0,,0,0,,Dutchess,,,,,,,,,,,,,,,,,,,,,,,1.90E+07,2.00E+07,2.00E+07,2.30E+07,2.30E+07,2.10E+07,1356.43,,,,21080.2,26.205,9.95609,2,0,65.4,68.5,0.698163,66.95,0,0,0,1,,1,,,,,,,1,Dutchess,Dutchess,Dutchess,2012,1,1,Anti,5,1/1/2012,5/7/2012,127,0,0,0,62445.17067,1680,2,,10,2,,10,,2,1,,,,,,
Binghamton,444,444,city,978733,Broome,0,1,city,1,1,4942,25.3,195.7,83.6,0.104,0.464455,0,20951,25665,36137,1,1,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,1,1,1,0,1,0,,,,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,1,2,2,2,12,,3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,4,5,3,4,2,4,2,2,2,2,6,,,1,2,0,0,0,1,0,1,2,0,2,0.003822,3.17747,0.483014,19.8407,1.59568,0.149422,1,1,3.66048,23.5012,2,2,2,0,1,0,0,0,0,6,0,1,2,Broome,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,3.00E+06,3.00E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,64.42,,3,5,3051.75,20.951,8.02347,1,0,52,46.8,0.15197,49.4,1,0,0,1,,1,,,,,,,1,Broome,Broome,Broome,2011,1,1,Anti,12,1/1/2011,12/21/2011,354,1,5,1,11396.80715,1510,0,1,1,,,5,,2,1,2,,,,,
Buffalo ,784,784,city,978764,Erie,0,0,city,1,1,261310,40.4,6470.6,81.7,0.13,0.426133,0,20072,24536,30614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,10.4373,0.708189,0.067066,0.783942,38.5932,0.942746,,,0.775254,1.5592,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,3.00E+08,2.90E+08,2.80E+08,2.70E+08,2.70E+08,2.80E+08,1083.54,,,,283139,20.072,12.5537,20,1,79.5,82.2,0.955276,80.85,13,0,0,,1,,1,,,,,,2,Erie,Erie,Erie,2012,3,4,Anti,3,1/1/2012,3/6/2012,65,0,11,7,99559.95766,1990,0,,9,,,3,,,,,,,,,
Buffalo ,784,784,city,978764,Erie,0,0,city,1,1,261310,40.4,6470.6,81.7,0.13,0.426133,0,20072,24536,30614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,10.4373,0.708189,0.067066,0.783942,38.5932,0.942746,,,0.775254,1.5592,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,3.00E+08,2.90E+08,2.80E+08,2.70E+08,2.70E+08,2.80E+08,1083.54,,,,283139,20.072,12.5537,20,1,79.5,82.2,0.955276,80.85,13,0,0,,1,1,,,,,,,2,Erie,Erie,Erie,2011,4,1,Anti,1,1/1/2011,1/25/2011,24,0,11,7,99559.95766,1990,0,,9,,,3,,,,,,,,,
Canandaigua ,888,888,city,978784,Ontario,0,1,city,1,1,10545,4.6,2295.2,92.7,0.054,0.559509,0,28404,37197,47388,1,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,4,6,1,3,0,,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,5,3,5,1,4,1,7,1,,1,2,0,0,0,0,1,0,1,1,0,0.027104,0.380156,0.09973,0.593516,3.34461,0.399616,2,0,0.479886,1.0734,2,2,0,0,0,0,0,0,0,4,0,0,0,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50E+07,1.60E+07,1.80E+07,1.70E+07,1.70E+07,1.70E+07,1581.29,4,0,1,16674.7,28.404,9.72165,0,0,55.9,55.3,0.727089,55.6,0,0,0,1,,1,,,,,,,1,Ontario,Ontario,Ontario,2012,1,2,Anti,8,1/1/2012,8/4/2012,216,0,1,0,98842.08746,10200,0,,1,,1,2,,,,,,,,,
